user_id,employee_name,email,role,functional_unit,department,team,start_date,end_date
NFP2441,Nicholas Fletcher Pruitt,Nicholas.Fletcher.Pruitt@dtaa.com,ITAdmin,1 - Adminstration,5 - Security,8 - ElectronicSecurity,2009-12-01,2011-06-01
ADR1517,Abraham Dante Rodgers,Abraham.Dante.Rodgers@dtaa.com,ProductionLineWorker,5 - Manufacturing_Commercial,3 - Assembly,4 - AssemblyDept,2009-12-01,2011-06-01
MWB4000,Medge Wilma Blackburn,Medge.Wilma.Blackburn@dtaa.com,ProductionLineWorker,6 - Manufacturing_Government,3 - Assembly,14 - AssemblyDept,2009-12-01,2011-06-01
MLS2856,Meghan Laurel Salazar,Meghan.Laurel.Salazar@dtaa.com,ProductionLineWorker,6 - Manufacturing_Government,3 - Assembly,8 - AssemblyDept,2009-12-01,2011-06-01
BTR2026,Beau Todd Romero,Beau.Todd.Romero@dtaa.com,MechanicalEngineer,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,16 - TestAndEvalualtion,2009-12-01,2011-06-01
ZCT1009,Zephania Chaim Terry,Zephania.Chaim.Terry@dtaa.com,Manager,4 - ResearchAndEngineering_Government_Foreign,3 - SoftwareManagement,5 - DesktopSoftware,2009-12-01,2011-06-01
SEM1983,Sierra Emily Mendez,Sierra.Emily.Mendez@dtaa.com,MaterialsEngineer,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,14 - MaterialsEngineering,2009-12-01,2010-06-01
BDW1459,Bell Daria White,Bell.Daria.White@dtaa.com,ComputerScientist,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,10 - SystemsEngineering,2009-12-01,2011-06-01
FAJ3101,Fulton August Jackson,Fulton.August.Jackson@dtaa.com,SystemsEngineer,2 - ResearchAndEngineering_Commercial,4 - Engineering,24 - SystemsEngineering,2009-12-01,2011-06-01
CLR1239,Carl Louis Rice,Carl.Louis.Rice@dtaa.com,HardwareEngineer,3 - ResearchAndEngineering_Government_Domestic,3 - SoftwareManagement,6 - EmbeddedSoftware,2009-12-01,2010-09-01
LOP1708,Lucius Orlando Patton,Lucius.Orlando.Patton@dtaa.com,Manager,2 - ResearchAndEngineering_Commercial,3 - SoftwareManagement,8 - DesktopSoftware,2009-12-01,2011-06-01
GKK2422,Garth Kenyon Kirkland,Garth.Kenyon.Kirkland@dtaa.com,SecurityGuard,1 - Adminstration,5 - Security,7 - BuildingSecurity,2009-12-01,2011-06-01
MYB3817,Micah Yoshio Bass,Micah.Yoshio.Bass@dtaa.com,Technician,9 - SalesAndMarketing_Government,3 - FieldService,6 - RegionalFieldService,2009-12-01,2011-06-01
JBO2839,James Bradley Osborn,James.Bradley.Osborn@dtaa.com,StockroomClerk,6 - Manufacturing_Government,3 - Assembly,7 - Stockroom,2009-12-01,2011-06-01
JTC0941,Jeanette Tallulah Carroll,Jeanette.Tallulah.Carroll@dtaa.com,Technician,8 - SalesAndMarketing_Commercial,3 - FieldService,1 - RegionalFieldService,2009-12-01,2011-06-01
IKA2925,Iona Kendall Allison,Iona.Kendall.Allison@dtaa.com,Technician,8 - SalesAndMarketing_Commercial,3 - FieldService,4 - RegionalFieldService,2009-12-01,2011-06-01
JSN1905,Josiah Sloane Neal,Josiah.Sloane.Neal@dtaa.com,Scientist,3 - ResearchAndEngineering_Government_Domestic,2 - Research,3 - Lab,2009-12-01,2011-06-01
JRL2365,Jeanette Rhona Levine,Jeanette.Rhona.Levine@dtaa.com,Technician,9 - SalesAndMarketing_Government,3 - FieldService,3 - RegionalFieldService,2009-12-01,2011-06-01
GJB0850,Grant Jin Baird,Grant.Jin.Baird@dtaa.com,StockroomClerk,5 - Manufacturing_Commercial,3 - Assembly,1 - Stockroom,2009-12-01,2011-06-01
LMD2804,Lana Myra Davidson,Lana.Myra.Davidson@dtaa.com,ProductionLineWorker,5 - Manufacturing_Commercial,3 - Assembly,8 - AssemblyDept,2009-12-01,2011-06-01
KMB3003,Kai Melissa Bradford,Kai.Melissa.Bradford@dtaa.com,ChiefEngineer,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,23 - ElectricalEngineering,2009-12-01,2011-06-01
LWV1525,Leila Whilemina Valdez,Leila.Whilemina.Valdez@dtaa.com,ProductionLineWorker,5 - Manufacturing_Commercial,3 - Assembly,4 - AssemblyDept,2009-12-01,2011-06-01
RBB3867,Rebecca Blythe Booker,Rebecca.Blythe.Booker@dtaa.com,Mathematician,2 - ResearchAndEngineering_Commercial,2 - Research,7 - Lab,2009-12-01,2011-06-01
ARF0575,Aiko Rebecca Frost,Aiko.Rebecca.Frost@dtaa.com,HardwareEngineer,2 - ResearchAndEngineering_Commercial,4 - Engineering,5 - SystemsEngineering,2009-12-01,2011-06-01
WSC2981,Wyoming Sage Clay,Wyoming.Sage.Clay@dtaa.com,Technician,9 - SalesAndMarketing_Government,3 - FieldService,4 - RegionalFieldService,2009-12-01,2011-06-01
HKT1778,Hilda Kellie Townsend,Hilda.Kellie.Townsend@dtaa.com,Scientist,2 - ResearchAndEngineering_Commercial,2 - Research,3 - Lab,2009-12-01,2011-06-01
MAS3218,Meredith Anne Solomon,Meredith.Anne.Solomon@dtaa.com,ElectricalEngineer,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,23 - ElectricalEngineering,2009-12-01,2011-02-01
MJG2304,Margaret Jennifer Gallagher,Margaret.Jennifer.Gallagher@dtaa.com,Technician,8 - SalesAndMarketing_Commercial,3 - FieldService,3 - RegionalFieldService,2009-12-01,2011-06-01
CCH1508,Charissa Christine Hatfield,Charissa.Christine.Hatfield@dtaa.com,ProductionLineWorker,5 - Manufacturing_Commercial,3 - Assembly,4 - AssemblyDept,2009-12-01,2011-06-01
HDN2609,Hedy Darryl Noble,Hedy.Darryl.Noble@dtaa.com,ElectricalEngineer,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,18 - ElectricalEngineering,2009-12-01,2011-06-01
FCM3926,Fay Cheyenne Mcfadden,Fay.Cheyenne.Mcfadden@dtaa.com,StockroomClerk,5 - Manufacturing_Commercial,3 - Assembly,13 - Stockroom,2009-12-01,2011-06-01
DMR0336,Deborah Marcia Richards,Deborah.Marcia.Richards@dtaa.com,StockroomClerk,6 - Manufacturing_Government,3 - Assembly,1 - Stockroom,2009-12-01,2011-06-01
XAB0936,Xyla Alea Berg,Xyla.Alea.Berg@dtaa.com,Technician,8 - SalesAndMarketing_Commercial,3 - FieldService,1 - RegionalFieldService,2009-12-01,2010-08-01
LCB2041,Lucius Cole Buckley,Lucius.Cole.Buckley@dtaa.com,Physicist,4 - ResearchAndEngineering_Government_Foreign,2 - Research,3 - Lab,2009-12-01,2011-06-01
ZJB0552,Zahir Jakeem Boyd,Zahir.Jakeem.Boyd@dtaa.com,ElectricalEngineer,2 - ResearchAndEngineering_Commercial,4 - Engineering,3 - ElectricalEngineering,2009-12-01,2011-06-01
AKP3573,Alea Kameko Phillips,Alea.Kameko.Phillips@dtaa.com,ElectricalEngineer,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,25 - SystemsEngineering,2009-12-01,2010-12-01
JRA0522,Jade Rebekah Austin,Jade.Rebekah.Austin@dtaa.com,TechnicalWriter,2 - ResearchAndEngineering_Commercial,4 - Engineering,1 - Publications,2009-12-01,2011-06-01
RLS1738,Rhea Lydia Stein,Rhea.Lydia.Stein@dtaa.com,FieldServiceEngineer,9 - SalesAndMarketing_Government,3 - FieldService,3 - RegionalFieldService,2009-12-01,2011-06-01
CWK2870,Cullen Walter Klein,Cullen.Walter.Klein@dtaa.com,ProductionLineWorker,6 - Manufacturing_Government,3 - Assembly,8 - AssemblyDept,2009-12-01,2011-06-01
BRH1107,Brynne Ramona Hendrix,Brynne.Ramona.Hendrix@dtaa.com,ElectricalEngineer,2 - ResearchAndEngineering_Commercial,3 - SoftwareManagement,6 - EmbeddedSoftware,2009-12-01,2011-06-01
